Points_0,Points_1,Points_2,U_0,U_1,U_2,p
0.5,0,0.05,0,0,0,0.0377177
0.5,0.02,0.05,-0.125099,2.17902e-05,0,0.0374061
0.5,0.04,0.05,-0.213624,-0.00331812,0,0.0362256
0.5,0.06,0.05,-0.28485,-0.00749887,0,0.0336146
0.5,0.08,0.05,-0.34018,-0.0105775,0,0.0292439
0.5,0.1,0.05,-0.372496,-0.0121218,0,0.0232276
0.5,0.12,0.05,-0.375782,-0.0123328,0,0.0161163
0.5,0.14,0.05,-0.360782,-0.0120013,0,0.00890963
0.5,0.16,0.05,-0.337613,-0.0115261,0,0.0020998
0.5,0.18,0.05,-0.313698,-0.010993,0,-0.00415242
0.5,0.2,0.05,-0.29212,-0.0103315,0,-0.00988607
0.5,0.5,0.05,-0.0359762,0.0156177,0,-0.0554852
0.5,0.9,0.05,0.366336,0.0317214,0,-0.0178624
0.5,0.91,0.05,0.376143,0.030552,0,-0.0164964
0.5,0.92,0.05,0.385071,0.0292112,0,-0.0151964
0.5,0.93,0.05,0.392238,0.0275277,0,-0.0140286
0.5,0.94,0.05,0.399547,0.0254045,0,-0.0130085
0.5,0.95,0.05,0.406925,0.0230613,0,-0.0120622
0.5,0.96,0.05,0.433534,0.0192963,0,-0.0113943
0.5,0.97,0.05,0.485964,0.0149405,0,-0.0107904
0.5,0.98,0.05,0.590038,0.00940302,0,-0.0103143
0.5,0.99,0.05,0.774838,0.00453432,0,-0.00996546
0.5,1,0.05,1,0,0,-0.00968018
