Points_0,Points_1,Points_2,U_0,U_1,U_2,p
0.5,0,0.05,0,0,0,-0.00322331
0.5,0.02,0.05,-0.0971686,0.00990042,0,-0.00351941
0.5,0.04,0.05,-0.178187,0.0182711,0,-0.00418934
0.5,0.06,0.05,-0.226903,0.0235821,0,-0.00560697
0.5,0.08,0.05,-0.256726,0.0272667,0,-0.00788056
0.5,0.1,0.05,-0.277101,0.0301381,0,-0.0105821
0.5,0.12,0.05,-0.276629,0.0311634,0,-0.0139927
0.5,0.14,0.05,-0.27132,0.0316925,0,-0.0174199
0.5,0.16,0.05,-0.256335,0.0312293,0,-0.0208806
0.5,0.18,0.05,-0.238261,0.0301005,0,-0.0240343
0.5,0.2,0.05,-0.218643,0.028639,0,-0.0270345
0.5,0.5,0.05,-0.0162693,0.0254793,0,-0.0463433
0.5,0.9,0.05,0.258081,0.0298551,0,-0.0283292
0.5,0.91,0.05,0.262896,0.0286236,0,-0.02775
0.5,0.92,0.05,0.26771,0.0273921,0,-0.0271707
0.5,0.93,0.05,0.272524,0.0261606,0,-0.0265915
0.5,0.94,0.05,0.30024,0.0237424,0,-0.0261576
0.5,0.95,0.05,0.339407,0.0207307,0,-0.0257963
0.5,0.96,0.05,0.378574,0.017719,0,-0.025435
0.5,0.97,0.05,0.464217,0.0141401,0,-0.0251369
0.5,0.98,0.05,0.642811,0.00942673,0,-0.024965
0.5,0.99,0.05,0.821406,0.00471336,0,-0.0247931
0.5,1,0.05,1,0,0,-0.0246212
