Points_0,Points_1,Points_2,U_0,U_1,U_2,p
0.5,0,0.05,0,0,0,-0.00408797
0.5,0.02,0.05,-0.126882,0.00026961,0,-0.00441587
0.5,0.04,0.05,-0.216413,-0.00266815,0,-0.00561631
0.5,0.06,0.05,-0.287634,-0.00661596,0,-0.00824912
0.5,0.08,0.05,-0.34246,-0.00951358,0,-0.0126513
0.5,0.1,0.05,-0.37399,-0.0109802,0,-0.0186889
0.5,0.12,0.05,-0.376499,-0.0111156,0,-0.0257954
0.5,0.14,0.05,-0.361041,-0.0107806,0,-0.0329826
0.5,0.16,0.05,-0.337777,-0.0103978,0,-0.03977
0.5,0.18,0.05,-0.314043,-0.010009,0,-0.04601
0.5,0.2,0.05,-0.29279,-0.00950114,0,-0.0517454
0.5,0.5,0.05,-0.0354469,0.0145831,0,-0.0979755
0.5,0.9,0.05,0.366859,0.0316481,0,-0.0593051
0.5,0.91,0.05,0.376511,0.0304715,0,-0.0579342
0.5,0.92,0.05,0.385305,0.0291501,0,-0.0566253
0.5,0.93,0.05,0.392381,0.0275393,0,-0.0554405
0.5,0.94,0.05,0.399587,0.0253728,0,-0.0544182
0.5,0.95,0.05,0.406858,0.0229284,0,-0.0534771
0.5,0.96,0.05,0.433489,0.0192027,0,-0.052786
0.5,0.97,0.05,0.485933,0.014931,0,-0.0521694
0.5,0.98,0.05,0.590003,0.00956775,0,-0.0517015
0.5,0.99,0.05,0.774816,0.00466799,0,-0.0514256
0.5,1,0.05,1,0,0,-0.0512459
