Points_0,Points_1,Points_2,U_0,U_1,U_2,p
0.5,0,0.05,0,0,0,-0.00653502
0.5,0.02,0.05,-0.148313,0.00236987,0,-0.00668966
0.5,0.04,0.05,-0.247472,0.00206909,0,-0.00785561
0.5,0.06,0.05,-0.321808,0.000152269,0,-0.0107736
0.5,0.08,0.05,-0.375324,-0.000875408,0,-0.0157048
0.5,0.1,0.05,-0.399215,-0.00097663,0,-0.0223551
0.5,0.12,0.05,-0.393889,-0.000802964,0,-0.0298152
0.5,0.14,0.05,-0.370771,-0.000812946,0,-0.0371797
0.5,0.16,0.05,-0.342363,-0.00103084,0,-0.0439522
0.5,0.18,0.05,-0.316185,-0.00121399,0,-0.0501065
0.5,0.2,0.05,-0.294166,-0.00114639,0,-0.0557242
0.5,0.5,0.05,-0.0393577,0.01954,0,-0.103039
0.5,0.9,0.05,0.379748,0.0306189,0,-0.0627652
0.5,0.91,0.05,0.390864,0.029456,0,-0.061292
0.5,0.92,0.05,0.400339,0.0280937,0,-0.0599152
0.5,0.93,0.05,0.407728,0.0264918,0,-0.0586612
0.5,0.94,0.05,0.412991,0.0245274,0,-0.0575746
0.5,0.95,0.05,0.418944,0.0220446,0,-0.056652
0.5,0.96,0.05,0.433256,0.0186779,0,-0.0558963
0.5,0.97,0.05,0.477963,0.013846,0,-0.0553036
0.5,0.98,0.05,0.58389,0.00779571,0,-0.0548332
0.5,0.99,0.05,0.765427,0.00235599,0,-0.0544539
0.5,1,0.05,1,0,0,-0.0542562
