U values for timestep: 0.00390625
Time: 0, U: 0.009900990099009901
Time: 0.00390625, U: 0.01376002796
Time: 0.0078125, U: 0.01759807236
Time: 0.01171875, U: 0.02140926765
Time: 0.015625, U: 0.02518779914
Time: 0.01953125, U: 0.02892790198
Time: 0.0234375, U: 0.03262386996
Time: 0.02734375, U: 0.0362700642
Time: 0.03125, U: 0.03986092175
Time: 0.03515625, U: 0.04339096409
Time: 0.0390625, U: 0.04685480549
Time: 0.04296875, U: 0.05024716122
Time: 0.046875, U: 0.05356285562
Time: 0.05078125, U: 0.05679682998
Time: 0.0546875, U: 0.05994415028
Time: 0.05859375, U: 0.06300001469
Time: 0.0625, U: 0.06595976093
Time: 0.06640625, U: 0.06881887336
Time: 0.0703125, U: 0.07157298987
Time: 0.07421875, U: 0.07421790856
Time: 0.078125, U: 0.0767495941
Time: 0.08203125, U: 0.07916418395
Time: 0.0859375, U: 0.0814579942
Time: 0.08984375, U: 0.08362752521
Time: 0.09375, U: 0.08566946698
Time: 0.09765625, U: 0.08758070413
Time: 0.1015625, U: 0.08935832073
Time: 0.10546875, U: 0.09099960469
Time: 0.109375, U: 0.09250205192
Time: 0.11328125, U: 0.09386337017
Time: 0.1171875, U: 0.0950814825
Time: 0.12109375, U: 0.09615453045
Time: 0.125, U: 0.09708087688
Time: 0.12890625, U: 0.09785910848
Time: 0.1328125, U: 0.09848803792
Time: 0.13671875, U: 0.09896670565
Time: 0.140625, U: 0.09929438138
Time: 0.14453125, U: 0.09947056516
Time: 0.1484375, U: 0.09949498821
Time: 0.15234375, U: 0.09936761326
Time: 0.15625, U: 0.09908863464
Time: 0.16015625, U: 0.09865847798
Time: 0.1640625, U: 0.09807779958
Time: 0.16796875, U: 0.09734748536
Time: 0.171875, U: 0.09646864956
Time: 0.17578125, U: 0.09544263299
Time: 0.1796875, U: 0.09427100104
Time: 0.18359375, U: 0.09295554125
Time: 0.1875, U: 0.09149826059
Time: 0.19140625, U: 0.08990138242
Time: 0.1953125, U: 0.08816734307
Time: 0.19921875, U: 0.08629878814
Time: 0.203125, U: 0.08429856845
Time: 0.20703125, U: 0.0821697357
Time: 0.2109375, U: 0.07991553784
Time: 0.21484375, U: 0.07753941404
Time: 0.21875, U: 0.07504498953
Time: 0.22265625, U: 0.07243607002
Time: 0.2265625, U: 0.06971663589
Time: 0.23046875, U: 0.06689083613
Time: 0.234375, U: 0.06396298205
Time: 0.23828125, U: 0.0609375406
Time: 0.2421875, U: 0.05781912767
Time: 0.24609375, U: 0.05461250098
Time: 0.25, U: 0.05132255281
Time: 0.25390625, U: 0.0479543026
Time: 0.2578125, U: 0.04451288924
Time: 0.26171875, U: 0.04100356323
Time: 0.265625, U: 0.03743167871
Time: 0.26953125, U: 0.03380268524
Time: 0.2734375, U: 0.03012211952
Time: 0.27734375, U: 0.02639559694
Time: 0.28125, U: 0.022628803
Time: 0.28515625, U: 0.01882748464
Time: 0.2890625, U: 0.01499744146
Time: 0.29296875, U: 0.01114451692
Time: 0.296875, U: 0.007274589355
Time: 0.30078125, U: 0.003393563059
Time: 0.3046875, U: -0.0004926407444
Time: 0.30859375, U: -0.004378092933
Time: 0.3125, U: -0.008256865532
Time: 0.31640625, U: -0.01212304076
Time: 0.3203125, U: -0.01597072004
Time: 0.32421875, U: -0.01979403304
Time: 0.328125, U: -0.02358714658
Time: 0.33203125, U: -0.02734427356
Time: 0.3359375, U: -0.0310596818
Time: 0.33984375, U: -0.03472770276
Time: 0.34375, U: -0.03834274018
Time: 0.34765625, U: -0.04189927867
Time: 0.3515625, U: -0.04539189205
Time: 0.35546875, U: -0.04881525172
Time: 0.359375, U: -0.05216413469
Time: 0.36328125, U: -0.05543343163
Time: 0.3671875, U: -0.05861815462
Time: 0.37109375, U: -0.06171344477
Time: 0.375, U: -0.06471457966
Time: 0.37890625, U: -0.06761698049
Time: 0.3828125, U: -0.07041621912
Time: 0.38671875, U: -0.07310802478
Time: 0.390625, U: -0.07568829064
Time: 0.39453125, U: -0.07815308001
Time: 0.3984375, U: -0.08049863241
Time: 0.40234375, U: -0.08272136926
Time: 0.40625, U: -0.08481789937
Time: 0.41015625, U: -0.08678502409
Time: 0.4140625, U: -0.08861974222
Time: 0.41796875, U: -0.09031925454
Time: 0.421875, U: -0.09188096813
Time: 0.42578125, U: -0.09330250033
Time: 0.4296875, U: -0.09458168231
Time: 0.43359375, U: -0.09571656244
Time: 0.4375, U: -0.09670540926
Time: 0.44140625, U: -0.0975467141
Time: 0.4453125, U: -0.09823919339
Time: 0.44921875, U: -0.09878179063
Time: 0.453125, U: -0.09917367799
Time: 0.45703125, U: -0.09941425756
Time: 0.4609375, U: -0.0995031623
Time: 0.46484375, U: -0.09944025657
Time: 0.46875, U: -0.09922563634
Time: 0.47265625, U: -0.09885962906
Time: 0.4765625, U: -0.09834279313
Time: 0.48046875, U: -0.0976759171
Time: 0.484375, U: -0.09686001839
Time: 0.48828125, U: -0.09589634181
Time: 0.4921875, U: -0.09478635764
Time: 0.49609375, U: -0.09353175935
Time: 0.5, U: -0.09213446107
Time: 0.50390625, U: -0.09059659463
Time: 0.5078125, U: -0.08892050634
Time: 0.51171875, U: -0.08710875338
Time: 0.515625, U: -0.0851640999
Time: 0.51953125, U: -0.08308951285
Time: 0.5234375, U: -0.08088815738
Time: 0.52734375, U: -0.07856339207
Time: 0.53125, U: -0.07611876379
Time: 0.53515625, U: -0.07355800225
Time: 0.5390625, U: -0.07088501438
Time: 0.54296875, U: -0.06810387832
Time: 0.546875, U: -0.0652188372
Time: 0.55078125, U: -0.06223429268
Time: 0.5546875, U: -0.05915479824
Time: 0.55859375, U: -0.05598505222
Time: 0.5625, U: -0.05272989066
Time: 0.56640625, U: -0.04939427989
Time: 0.5703125, U: -0.04598330902
Time: 0.57421875, U: -0.04250218211
Time: 0.578125, U: -0.03895621026
Time: 0.58203125, U: -0.03535080352
Time: 0.5859375, U: -0.03169146258
Time: 0.58984375, U: -0.02798377046
Time: 0.59375, U: -0.02423338392
Time: 0.59765625, U: -0.02044602488
Time: 0.6015625, U: -0.01662747164
Time: 0.60546875, U: -0.01278355012
Time: 0.609375, U: -0.008920124933
Time: 0.61328125, U: -0.005043090445
Time: 0.6171875, U: -0.00115836179
Time: 0.62109375, U: 0.002728134159
Time: 0.625, U: 0.006610467836
Time: 0.62890625, U: 0.01048271602
Time: 0.6328125, U: 0.01433897089
Time: 0.63671875, U: 0.018173349
Time: 0.640625, U: 0.02198000031
Time: 0.64453125, U: 0.02575311706
Time: 0.6484375, U: 0.02948694268
Time: 0.65234375, U: 0.03317578051
Time: 0.65625, U: 0.03681400255
Time: 0.66015625, U: 0.04039605803
Time: 0.6640625, U: 0.04391648185
Time: 0.66796875, U: 0.04736990295
Time: 0.671875, U: 0.05075105252
Time: 0.67578125, U: 0.05405477197
Time: 0.6796875, U: 0.05727602087
Time: 0.68359375, U: 0.06040988461
Time: 0.6875, U: 0.0634515819
Time: 0.69140625, U: 0.06639647207
Time: 0.6953125, U: 0.06924006215
Time: 0.69921875, U: 0.07197801371
Time: 0.703125, U: 0.0746061495
Time: 0.70703125, U: 0.07712045982
Time: 0.7109375, U: 0.07951710862
Time: 0.71484375, U: 0.08179243937
Time: 0.71875, U: 0.08394298062
Time: 0.72265625, U: 0.08596545135
Time: 0.7265625, U: 0.08785676588
Time: 0.73046875, U: 0.08961403867
Time: 0.734375, U: 0.09123458867
Time: 0.73828125, U: 0.09271594344
Time: 0.7421875, U: 0.0940558429
Time: 0.74609375, U: 0.09525224278
Time: 0.75, U: 0.09630331776
Time: 0.75390625, U: 0.09720746421
Time: 0.7578125, U: 0.09796330271
Time: 0.76171875, U: 0.09856968007
Time: 0.765625, U: 0.09902567117
Time: 0.76953125, U: 0.09933058029
Time: 0.7734375, U: 0.09948394225
Time: 0.77734375, U: 0.09948552306
Time: 0.78125, U: 0.09933532031
Time: 0.78515625, U: 0.09903356316
Time: 0.7890625, U: 0.09858071201
Time: 0.79296875, U: 0.09797745775
Time: 0.796875, U: 0.09722472076
Time: 0.80078125, U: 0.09632364949
Time: 0.8046875, U: 0.09527561867
Time: 0.80859375, U: 0.09408222729
Time: 0.8125, U: 0.09274529608
Time: 0.81640625, U: 0.09126686476
Time: 0.8203125, U: 0.08964918898
Time: 0.82421875, U: 0.08789473677
Time: 0.828125, U: 0.0860061849
Time: 0.83203125, U: 0.08398641469
Time: 0.8359375, U: 0.08183850768
Time: 0.83984375, U: 0.07956574089
Time: 0.84375, U: 0.07717158185
Time: 0.84765625, U: 0.0746596833
Time: 0.8515625, U: 0.07203387759
Time: 0.85546875, U: 0.06929817089
Time: 0.859375, U: 0.06645673701
Time: 0.86328125, U: 0.0635139111
Time: 0.8671875, U: 0.06047418297
Time: 0.87109375, U: 0.05734219029
Time: 0.875, U: 0.0541227115
Time: 0.87890625, U: 0.05082065851
Time: 0.8828125, U: 0.0474410692
Time: 0.88671875, U: 0.04398909978
Time: 0.890625, U: 0.04047001685
Time: 0.89453125, U: 0.03688918942
Time: 0.8984375, U: 0.03325208072
Time: 0.90234375, U: 0.02956423982
Time: 0.90625, U: 0.0258312932
Time: 0.91015625, U: 0.02205893617
Time: 0.9140625, U: 0.01825292416
Time: 0.91796875, U: 0.01441906394
Time: 0.921875, U: 0.01056320476
Time: 0.92578125, U: 0.006691229469
Time: 0.9296875, U: 0.002809045467
Time: 0.93359375, U: -0.001077424253
Time: 0.9375, U: -0.004962250164
Time: 0.94140625, U: -0.008839505244
Time: 0.9453125, U: -0.01270327402
Time: 0.94921875, U: -0.01654766161
Time: 0.953125, U: -0.02036680268
Time: 0.95703125, U: -0.02415487043
Time: 0.9609375, U: -0.02790608546
Time: 0.96484375, U: -0.03161472459
Time: 0.96875, U: -0.03527512961
Time: 0.97265625, U: -0.03888171591
Time: 0.9765625, U: -0.04242898095
Time: 0.98046875, U: -0.04591151275
Time: 0.984375, U: -0.04932399804
Time: 0.98828125, U: -0.05266123045
Time: 0.9921875, U: -0.05591811842
Time: 0.99609375, U: -0.05908969295
Time: 1, U: -0.06217111524
