# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	sum(error_velocity_mag_squ)
0.015               	2.307961528222e-03
0.03                	2.307961528222e-03
0.045               	2.307961528222e-03
0.06                	2.307961528222e-03
0.075               	2.307961528222e-03
0.09                	2.307961528222e-03
0.105               	2.307961528222e-03
0.12                	2.307961528222e-03
0.135               	2.307961528222e-03
0.15                	2.307961528222e-03
0.165               	2.307961528222e-03
0.18                	2.307961528222e-03
0.195               	2.307961528222e-03
0.21                	2.307961528222e-03
0.225               	2.307961528222e-03
0.24                	2.307961528222e-03
0.255               	2.307961528222e-03
0.27                	2.307961528222e-03
0.285               	2.307961528222e-03
0.3                 	2.307961528222e-03
