# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_velocity_mag)
0.015               	2.548979110030e-05
0.03                	2.548979110030e-05
0.045               	2.548979110030e-05
0.06                	2.548979110030e-05
0.075               	2.548979110030e-05
0.09                	2.548979110030e-05
0.105               	2.548979110030e-05
0.12                	2.548979110030e-05
0.135               	2.548979110030e-05
0.15                	2.548979110030e-05
0.165               	2.548979110030e-05
0.18                	2.548979110030e-05
0.195               	2.548979110030e-05
0.21                	2.548979110030e-05
0.225               	2.548979110030e-05
0.24                	2.548979110030e-05
0.255               	2.548979110030e-05
0.27                	2.548979110030e-05
0.285               	2.548979110030e-05
0.3                 	2.548979110030e-05
