# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_pres)
0.015               	1.539098469080e-02
0.03                	1.539098469080e-02
0.045               	1.539098469080e-02
0.06                	1.539098469080e-02
0.075               	1.539098469080e-02
0.09                	1.539098469080e-02
0.105               	1.539098469080e-02
0.12                	1.539098469080e-02
0.135               	1.539098469080e-02
0.15                	1.539098469080e-02
0.165               	1.539098469080e-02
0.18                	1.539098469080e-02
0.195               	1.539098469080e-02
0.21                	1.539098469080e-02
0.225               	1.539098469080e-02
0.24                	1.539098469080e-02
0.255               	1.539098469080e-02
0.27                	1.539098469080e-02
0.285               	1.539098469080e-02
0.3                 	1.539098469080e-02
