# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_velocity_mag)
0.015               	4.361388514540e-04
0.03                	4.361388514540e-04
0.045               	4.361388514540e-04
0.06                	4.361388514540e-04
0.075               	4.361388514540e-04
0.09                	4.361388514540e-04
0.105               	4.361388514540e-04
0.12                	4.361388514540e-04
0.135               	4.361388514540e-04
0.15                	4.361388514540e-04
0.165               	4.361388514540e-04
0.18                	4.361388514540e-04
0.195               	4.361388514540e-04
0.21                	4.361388514540e-04
0.225               	4.361388514540e-04
0.24                	4.361388514540e-04
0.255               	4.361388514540e-04
0.27                	4.361388514540e-04
0.285               	4.361388514540e-04
0.3                 	4.361388514540e-04
