# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	sum(error_velocity_mag_squ)
0.03                	1.504535615702e-01
0.06                	1.504535615702e-01
0.09                	1.504535615702e-01
0.12                	1.504535615702e-01
0.15                	1.504535615702e-01
0.18                	1.504535615702e-01
0.21                	1.504535615702e-01
0.24                	1.504535615702e-01
0.27                	1.504535615702e-01
0.3                 	1.504535615702e-01
