# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_pres)
0.0075              	7.606767229830e-03
0.015               	7.606767229830e-03
0.0225              	7.606767229830e-03
0.03                	7.606767229830e-03
0.0375              	7.606767229830e-03
0.045               	7.606767229830e-03
0.0525              	7.606767229830e-03
0.06                	7.606767229830e-03
0.0675              	7.606767229830e-03
0.075               	7.606767229830e-03
0.0825              	7.606767229830e-03
0.09                	7.606767229830e-03
0.0975              	7.606767229830e-03
0.105               	7.606767229830e-03
0.1125              	7.606767229830e-03
0.12                	7.606767229830e-03
0.1275              	7.606767229830e-03
0.135               	7.606767229830e-03
0.1425              	7.606767229830e-03
0.15                	7.606767229830e-03
0.1575              	7.606767229830e-03
0.165               	7.606767229830e-03
0.1725              	7.606767229830e-03
0.18                	7.606767229830e-03
0.1875              	7.606767229830e-03
0.195               	7.606767229830e-03
0.2025              	7.606767229830e-03
0.21                	7.606767229830e-03
0.2175              	7.606767229830e-03
0.225               	7.606767229830e-03
0.2325              	7.606767229830e-03
0.24                	7.606767229830e-03
0.2475              	7.606767229830e-03
0.255               	7.606767229830e-03
0.2625              	7.606767229830e-03
0.27                	7.606767229830e-03
0.2775              	7.606767229830e-03
0.285               	7.606767229830e-03
0.2925              	7.606767229830e-03
0.3                 	7.606767229830e-03
