# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_velocity_mag)
0.0075              	1.129027897930e-04
0.015               	1.129027897930e-04
0.0225              	1.129027897930e-04
0.03                	1.129027897930e-04
0.0375              	1.129027897930e-04
0.045               	1.129027897930e-04
0.0525              	1.129027897930e-04
0.06                	1.129027897930e-04
0.0675              	1.129027897930e-04
0.075               	1.129027897930e-04
0.0825              	1.129027897930e-04
0.09                	1.129027897930e-04
0.0975              	1.129027897930e-04
0.105               	1.129027897930e-04
0.1125              	1.129027897930e-04
0.12                	1.129027897930e-04
0.1275              	1.129027897930e-04
0.135               	1.129027897930e-04
0.1425              	1.129027897930e-04
0.15                	1.129027897930e-04
0.1575              	1.129027897930e-04
0.165               	1.129027897930e-04
0.1725              	1.129027897930e-04
0.18                	1.129027897930e-04
0.1875              	1.129027897930e-04
0.195               	1.129027897930e-04
0.2025              	1.129027897930e-04
0.21                	1.129027897930e-04
0.2175              	1.129027897930e-04
0.225               	1.129027897930e-04
0.2325              	1.129027897930e-04
0.24                	1.129027897930e-04
0.2475              	1.129027897930e-04
0.255               	1.129027897930e-04
0.2625              	1.129027897930e-04
0.27                	1.129027897930e-04
0.2775              	1.129027897930e-04
0.285               	1.129027897930e-04
0.2925              	1.129027897930e-04
0.3                 	1.129027897930e-04
