# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	sum(error_velocity_mag_squ)
0.015               	3.950995633057e-02
0.03                	3.950995633057e-02
0.045               	3.950995633057e-02
0.06                	3.950995633057e-02
0.075               	3.950995633057e-02
0.09                	3.950995633057e-02
0.105               	3.950995633057e-02
0.12                	3.950995633057e-02
0.135               	3.950995633057e-02
0.15                	3.950995633057e-02
0.165               	3.950995633057e-02
0.18                	3.950995633057e-02
0.195               	3.950995633057e-02
0.21                	3.950995633057e-02
0.225               	3.950995633057e-02
0.24                	3.950995633057e-02
0.255               	3.950995633057e-02
0.27                	3.950995633057e-02
0.285               	3.950995633057e-02
0.3                 	3.950995633057e-02
